Metric,Value
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000281956
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000203749
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000281956
design_powergrid__voltage__worst,0.000281956
design_powergrid__voltage__worst__net:VPWR,1.19963
design_powergrid__drop__worst,0.000369226
design_powergrid__drop__worst__net:VPWR,0.000369226
design_powergrid__voltage__worst__net:VGND,0.000281956
design_powergrid__drop__worst__net:VGND,0.000281956
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00021300000000000000031398494915180208408855833113193511962890625
ir__drop__worst,0.0003690000000000000245949094423991709845722652971744537353515625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
